Table_name;code:  BRANCHE07;code: tid;code: TAL
;475400 Detailhandel med elektriske husholdningsapparater;;
;475910 Møbelforretninger;;
;475920 Boligtekstilforretninger;;
;475930 Detailhandel med køkkenudstyr, glas, porcelæn, bestik, vaser, lysestager mv.;;
;475940 Forhandlere af musikinstrumenter;;
;475990 Detailhandel med belysningsartikler samt husholdningsartikler i.a.n.;;
;476100 Detailhandel med bøger;;
;476200 Detailhandel med aviser og papirvarer;;
;476300 Detailhandel med musik- og videooptagelser;;
;476410 Forhandlere af sports- og campingudstyr;;
;476420 Cykel- og knallertforretninger;;
;476430 Forhandlere af lystbåde og udstyr hertil;;
;476500 Detailhandel med spil og legetøj;;
;477700 Detailhandel med ure, smykker og guld- og sølvvarer;;
;477110 Tøjforretninger;;
;477120 Babyudstyrs- og børnetøjsforretninger;;
;477210 Skotøjsforretninger;;
;477220 Lædervareforretninger;;
;477300 Apoteker;;
;477400 Detailhandel med medicinske og ortopædiske artikler;;
;477500 Detailhandel med kosmetikvarer og produkter til personlig pleje;;
;477610 Blomsterforretninger;;
;477620 Planteforhandlere og havecentre;;
;477630 Dyrehandel;;
;477810 Optikere;;
;477820 Fotoforretninger;;
;477830 Forhandlere af gaveartikler og brugskunst;;
;477840 Kunsthandel og gallerivirksomhed;;
;477890 Detailhandel med andre varer i.a.n.;;
;477900 Detailhandel med brugte varer i forretninger;;
;478100 Detailhandel med føde-, drikke- og tobaksvarer fra stadepladser og markeder;;
;478200 Detailhandel med tekstiler, beklædningsartikler og fodtøj fra stadepladser og markeder;;
;478900 Detailhandel med andre varer fra stadepladser og markeder;;
;479110 Detailhandel fra postordreforretninger;;
;479111 Detailhandel med dagligvarer via internet;;
;479112 Detailhandel med elektroniske eller elektriske apparater samt fotoudstyr via internet;;
;479113 Detailhandel med husholdnings- eller boligudstyr, bortset fra elektriske apparater, via internet;;
;479114 Detailhandel med bøger, kontorartikler, musik eller film via internet;;
;479115 Detailhandel med hobbyartikler, musikinstrumenter, sportsudstyr, legetøj, cykler via internet;;
;479116 Detailhandel med tøj, sko, lædervarer, ure eller babyudstyr  via internet;;
;479117 Detailhandel med medicin og produkter til personlig pleje via internet;;
;479119 Detailhandel med andre varer i.a.n. via internet;;
;479120 Detailhandel via Internettet med digitale produkter;;
;479900 Anden detailhandel undtagen fra forretninger, stadepladser og markeder;;
;491000 Passagertransport med regional- eller fjerntog;;
;492000 Godstransport med tog;;
;493110 Rutebuskørsel, by- og nærtrafik;;
;493120 S-togstrafik, metro og andre nærbaner;;
;493200 Taxikørsel;;
;493910 Rutebuskørsel, fjerntrafik og skolebusser;;
;493920 Turistkørsel og anden landpassagertransport;;
;494100 Vejgodstransport;;
;494200 Flytteforretninger;;
;495000 Rørtransport;;
;501000 Sø- og kysttransport af passagerer;;
;502000 Sø- og kysttransport af gods;;
;503000 Transport af passagerer ad indre vandveje;;
;504000 Transport af gods ad indre vandveje;;
;511010 Ruteflyvning;;
;511020 Charter- og taxiflyvning;;
;512100 Lufttransport af gods;;
;512200 Rumfart;;
;521000 Oplagrings- og pakhusvirksomhed;;
;522110 Stationer, godsterminaler mv.;;
;522120 Parkering og vejhjælp mv.;;
;522130 Drift af betalingsveje, -broer og -tunneler;;
;522210 Erhvervshavne;;
;522220 Bugserings-, bjærgnings- og redningsvæsen mv.;;
;522300 Serviceydelser i forbindelse med luftfart;;
;522400 Godshåndtering;;
;522910 Skibsmæglere;;
;522920 Speditører;;
;522990 Andre tjenesteydelser i forbindelse med transport;;
;531000 Posttjenester omfattet af forsyningspligten;;
;532000 Andre post- og kurertjenester;;
;551010 Hoteller;;
;551020 Konferencecentre og kursusejendomme;;
;552000 Ferieboliger og andre indlogeringsfaciliteter til kortvarige ophold;;
;553000 Campingpladser;;
;559000 Andre overnatningsfaciliteter;;
;561010 Restauranter;;
;561020 Pizzeriaer, grillbarer, isbarer mv.;;
;562100 Event catering;;
;562900 Anden restaurationsvirksomhed;;
;563000 Cafeér, værtshuse, diskoteker mv.;;
;581100 Udgivelse af bøger;;
;581200 Udgivelse af telefonbøger og adresselister;;
;581300 Udgivelse af aviser og dagblade;;
;581410 Udgivelse af ugeblade og magasiner;;
;581420 Udgivelse af distrikts- og annonceblade;;
;581900 Anden udgivervirksomhed;;
;582100 Udgivelse af computerspil;;
;582900 Anden udgivelse af software;;
;591110 Produktion af film og videofilm;;
;591120 Produktion af tv-programmer;;
;591200 Aktiviteter, der udøves efter produktion af film, video- og tv-programmer;;
;591300 Distribution af film, video- og tv-programmer;;
;591400 Biografer;;
;592000 Indspilning af lydoptagelser og udgivelse af musik;;
;601000 Radiovirksomhed;;
;602000 Tv-virksomhed;;
;611000 Fastnetbaseret telekommunikation;;
;612000 Trådløs telekommunikation;;
;613000 Satellitbaseret telekommunikation;;
;619000 Anden telekommunikation;;
;620100 Computerprogrammering;;
;620200 Konsulentbistand vedrørende informationsteknologi;;
;620300 Computer facility management;;
;620900 Anden it-servicevirksomhed;;
;631100 Databehandling, webhosting og lignende serviceydelser;;
;631200 Webportaler;;
;639100 Pressebureauer;;
;639900 Andre informationstjenester i.a.n.;;
;641100 Centralbanker;;
;641900 Banker, sparekasser og andelskasser;;
;642010 Finansielle holdingselskaber;;
